Name,smile,value,label_cutoff_50%
sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,90,1
clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,50,1
sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,99,1
tolazoline,c1ccc(CC2=NCCN2)cc1,90,1
cotinine,CN1C(=O)CCC1c1cccnc1,97,1
methylaminorex,CC1NC(=N)OC1c1ccccc1,62,1
serotonin,NCCc1c[nH]c2ccc(O)cc12,<50[2],0
ritipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(COC(=N)O)SC12,37,0
didanosine,OCC1CCC(n2cnc3c(O)ncnc32)O1,38,0
tazobactam,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0,0
phenylbutyrate,O=C(O)CCCc1ccccc1,78,1
alovudine,Cc1cn(C2CC(F)C(CO)O2)c(=O)nc1O,>80[1],1
fludarabine,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,57.5,1
guanoxan,N=C(N)NCC1COc2ccccc2O1,50,1
nifurtimox,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,26,0
zidovudine,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)nc1O,63,1
vidarabine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0,0
phenacetin,CCOc1ccc(N=C(C)O)cc1,25,0
methyldopa,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,42,0
seletracetam,CCC(C(=N)O)N1CC(C=C(F)F)CC1=O,90,1
nicotine,CN1CCCC1c1cccnc1,30,0
carbidopa,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,70,1
telbivudine,Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O,68,1
proxyphylline,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,99,1
diprophylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,90,1
tolmesoxide,COc1cc(C)c(S(C)=[OH+])cc1OC,85,1
guaifenesin,COc1ccccc1OCC(O)CO,>80[1],1
methamphetamine,CNC(C)Cc1ccccc1,67,1
benserazide,NC(CO)C(O)=NNCc1ccc(O)c(O)c1O,<50[2],0
phenformin,N=C(N)NC(=N)NCCc1ccccc1,55,1
penciclovir,N=c1nc(O)c2ncn(CCC(CO)CO)c2[nH]1,77,1
talsaclidine,C#CCOC1CN2CCC1CC2,90,1
edrophonium,CC[N+](C)(C)c1cccc(O)c1,0,0
pseudoephedrine,CNC(C)C(O)c1ccccc1,100,1
pholedrine,CNC(C)Cc1ccc(O)cc1,20,0
etilefrine,CCNCC(O)c1cccc(O)c1,<50[2],0
desglymidodrine,COc1ccc(OC)c(C(O)CN)c1,93,1
biotin,O=C(O)CCCCC1SCC2N=C(O)NC21,99,1
amantadine,NC12CC3CC(CC(C3)C1)C2,90,1
pramipexole,CCCNC1CCc2[nH]c(=N)sc2C1,93,1
sobrerol,CC1=CCC(C(C)(C)O)CC1O,72,1
pentosan,O=S(=O)(O)OC1C(O)COC(OC2COC(O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C1OS(=O)(=O)O,3,0
diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,90,1
miglustat,CCCCN1CC(O)C(O)C(O)C1CO,97,1
voglibose,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,6,0
ethambutol,CCC(CO)NCCNC(CC)CO,77,1
anagrelide,OC1=NC2=Nc3ccc(Cl)c(Cl)c3CN2C1,75,1
rufinamide,N=C(O)c1cn(Cc2c(F)cccc2F)nn1,85,1
amrinone,Nc1cc(-c2ccncc2)cnc1O,93,1
