Compound ID,InChIKey,SMILES,logS,logP,MW,similarity_scores_with_oral_bioavail_test_dataset
C4904,GEYJUFBPCGDENK-UHFFFAOYSA-M,CC(c1ccc(c2c(c1)c(C)cc2S(=O)(=O)[O-])C)C.[Na+],-3.452318865,4.5165,300.348,0.265306122
C4922,AWLILQARPMWUHA-FJXQXJEOSA-M,CCC[C@@H](C1(CC)C(=O)NC(=S)N=C1[O-])C.[Na+],-3.43985715,1.8271,264.32,0.265306122
C811,YGOGAACPYALXRT-GKAPJAKFSA-N,CCC1(C(=O)NC(=O)NC1=O)C1=CC[C@H]2C[C@@H]1CC2,-2.7,2.1528,262.304,0.265306122
C6668,XBQMOSVDTGDYFV-GQCTYLIASA-N,ONC(=O)/C=C/c1ccc(c(c1)C)OC,-2.299417192,1.9131,207.226,0.265306122
C6951,KYBVWWVRKOYDNI-UHFFFAOYSA-N,OCC(COc1ccc(cc1)C)(CO)CO,-2.121634705,0.3371,226.269,0.265306122
C7049,SVAAQXJOGYYYEY-UHFFFAOYSA-N,O=C(Nc1ccccc1)COc1ccccc1C(=O)N,-2.058914746,2.5763,270.283,0.265306122
C7148,ZUCYWASRHXWLPN-UHFFFAOYSA-N,CCN(CCN1CC2CCC(C1)N2C(=O)CC)CC,-1.999054202,1.2892,267.41,0.265306122
C7191,ROBVIMPUHSLWNV-UHFFFAOYSA-N,CCC1(CCC(=O)NC1=O)c1ccc(cc1)N,-1.969818079,2.2632,232.278,0.265306122
C7641,QDOVDSFIOUZBQT-UHFFFAOYSA-N,OCCOc1ccccc1C(=O)N(CC)CC,-1.630221116,1.5397,237.295,0.265306122
C8575,LKCAFSOYOMFQSL-UHFFFAOYSA-N,NOCc1ccc(cc1)[N+](=O)[O-].Cl,-0.816772261,3.0106,204.611,0.265306122
C8952,JKZHBDBZNPVEOX-UHFFFAOYSA-M,COc1ccc(cc1C(C[N+](C)(C)C)(O)C)OC.[Cl-],-0.300730364,-1.3785,289.798,0.265306122
C9079,QNPIQYMRMOUVIP-UHFFFAOYSA-M,O=C(c1ccccc1)Oc1ccccc1C[N+](C)(C)C.[Br-],-0.070169332,0.116,350.25,0.265306122
C1934,HEQIUWPGQXVWSO-UHFFFAOYSA-N,Clc1ccc2c(c1)C1(CCC(CC1)N(C)C)c1ccccc1CC2.Cl,-7.567009046,6.0309,376.362,0.265625
C148,OGYFATSSENRIKG-UHFFFAOYSA-N,Clc1ccc(cc1)CN(C(=O)Nc1ccccc1)C1CCCC1,-5.9099998,5.3897,328.836,0.265625
C2472,UREZNYTWGJKWBI-UHFFFAOYSA-M,CC(CC(c1ccc(cc1)OCCOCC[N+](Cc1ccccc1)(C)C)(C)C)(C)C.[Cl-],-5.879555444,3.0764,448.081,0.265625
C2473,WZBSJWUNLSNPMJ-UHFFFAOYSA-N,CC[NH+](CCCOC(=O)C1c2ccccc2c2c1cccc2)CC.[Cl-],-5.879481009,-0.3391,359.89,0.265625
C2512,HDLBXIMVKQPNNL-UHFFFAOYSA-N,CC[NH+](C(COC(=O)C1c2ccccc2c2c1cccc2)C)CC.[Cl-],-5.816602274,-0.3407,359.89,0.265625
C2535,RCYTWTBFGNSMQC-VHEBQXMUSA-N,CC1=NN(C(=O)C1/N=N/c1ccc(cc1)C(=O)O)c1ccccc1,-5.767141059,2.7604,322.318,0.265625
C2837,ZCSKNHZKNUEWOG-LVEZLNDCSA-N,CN1CCN(CC1)CC1COC2(O1)c1ccccc1C=Cc1c2cccc1.OC(=O)/C=C/C(=O)O.OC(=O)/C=C/C(=O)O,-5.300021057,2.3337,594.609,0.265625
C3535,LYCOGTNKKCCKLN-UHFFFAOYSA-N,CCC(=O)c1ccc(cc1)OCC(CN1CCN(CC1)c1cccc(c1)C(F)(F)F)O.Cl.Cl,-4.494863655,5.4669,509.389,0.265625
