Compound ID,InChIKey,SMILES,logS,logP,MW,similarity_scores_with_oral_bioavail_test_dataset
C1583,HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,0.28999999,0.2494,26.0373,0.037037037
C4717,OKJPEAGHQZHRQV-UHFFFAOYSA-N,IC(I)I,-3.595200702,2.575,393.732,0.041666667
C1294,UWTUEMKLYAGTNQ-OWOJBTEDSA-N,Br/C=C/Br,-1.3200001,2.2474,185.845,0.043478261
C1511,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,-0.40000001,0.8022,28.0532,0.045454545
C94,GVYLCNUFSHDAAW-DYXRAMCBSA-N,Cl[C@]12C(Cl)(Cl)[C@@]3([C@@]4([C@@]1(Cl)[C@@]1([C@@]2(Cl)[C@]3([C@]4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-6.8000002,6.223,545.543,0.058823529
C4522,LMHAGAHDHRQIMB-UHFFFAOYSA-N,FC1(F)C(F)(F)C(C1(F)Cl)(F)Cl,-3.708268061,3.0798,232.939,0.0625
C1297,KFUSEUYYWQURPO-OWOJBTEDSA-N,Cl/C=C/Cl,-1.3,1.9352,96.9433,0.0625
C1801,UWEYRJFJVCLAGH-UHFFFAOYSA-N,FC12C(F)(C(F)(F)C(C(C2(F)F)(F)F)(F)F)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-9.193426391,5.5126,462.078,0.066666667
C1172,PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,-1.6799999,1.7762,187.861,0.066666667
C250,RWNKSTSCBHKHTB-UHFFFAOYSA-N,ClC(=C(Cl)Cl)C(=C(Cl)Cl)Cl,-4.9099998,4.7574,260.761,0.068181818
C333,JLYXXMFPNIAWKQ-CDRYSYESSA-N,Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H]([C@@H]([C@H]1Cl)Cl)Cl,-4.5100002,3.6444,290.83,0.071428571
C528,VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(C(Cl)(Cl)Cl)(Cl)Cl,-3.6700001,3.7268,236.739,0.071428571
C7890,UUAGAQFQZIEFAH-UHFFFAOYSA-N,FC(=C(F)F)Cl,-1.462733729,2.2603,116.47,0.071428571
C1336,FJBFPHVGVWTDIP-UHFFFAOYSA-N,BrCBr,-1.17,1.7337,173.835,0.071428571
C651,CVOGMKGEVNGRSK-OWOJBTEDSA-N,I/C=C/I,-3.22,2.3276,279.846,0.073170732
C1224,FMWLUWPQPKEARP-UHFFFAOYSA-N,ClC(Br)Cl,-1.54,2.1425,163.829,0.073170732
C956,NZZFYRREKKOMAT-UHFFFAOYSA-N,ICI,-2.3399999,1.8139,267.836,0.074074074
C1110,GATVIKZLVQHOMN-UHFFFAOYSA-N,ClC(Br)Br,-1.9,2.2986,208.28,0.074074074
C8084,CJENPNUXCMYXPT-UPHRSURJSA-N,F/C=C(/Cl)\F,-1.284913896,1.9631,98.4791,0.074074074
C1156,QPFMBZIOSGYJDE-UHFFFAOYSA-N,ClC(C(Cl)Cl)Cl,-1.74,2.5938,167.849,0.075
C677,HJUGFYREWKUQJT-UHFFFAOYSA-N,BrC(Br)(Br)Br,-3.1400001,3.1773,331.627,0.076923077
C5866,BFKJFAAPBSQJPD-UHFFFAOYSA-N,FC(=C(F)F)F,-2.800040215,1.991,100.015,0.076923077
C1337,HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,-1.17,1.9864,119.378,0.076923077
C8903,UABRYPURASNHRO-UHFFFAOYSA-N,C[Sn](C)C.O,-0.369803817,1.3063,181.82,0.076923077
C9779,OKIZCWYLBDKLSU-UHFFFAOYSA-M,C[N+](C)(C)C.[Cl-],0.729283121,-2.6736,109.598,0.076923077
C1006,QVLAWKAXOMEXPM-UHFFFAOYSA-N,ClCC(Cl)(Cl)Cl,-2.1800001,2.5954,167.849,0.08
C1395,JPOXNPPZZKNXOV-UHFFFAOYSA-N,ClCBr,-0.88999999,1.5776,129.384,0.081081081
C1504,MWWATHDPGQKSAR-UHFFFAOYSA-N,CC#C,-0.41,0.6395,40.0639,0.081632653
C585,VJOVAKSZILJDBB-UHFFFAOYSA-N,Ic1[nH]c(c(c1I)I)I,-3.46,3.4331,570.675,0.083333333
C966,VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,-2.3099999,2.5529,153.823,0.083333333
C1575,NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,0.15000001,0.69598,53.0626,0.083333333
C9879,VGTPCRGMBIAPIM-UHFFFAOYSA-M,[S-]C#N.[Na+],0.854578529,0.01438,81.0722,0.083333333
C9921,ZNNZYHKDIALBAK-UHFFFAOYSA-M,[S-]C#N.[K+],1.012440968,0.01438,97.1807,0.083333333
C9307,GNFVFPBRMLIKIM-UHFFFAOYSA-N,FCC#N,0.278049614,0.47948,59.0424,0.085106383
C8419,QYKIQEUNHZKYBP-UHFFFAOYSA-N,C=COC=C,-0.959735935,1.29,70.0898,0.085714286
C1552,RENMDAKOXSCIGH-UHFFFAOYSA-N,ClCC#N,-0.090000004,0.74878,75.497,0.085714286
C1106,DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,-1.91,2.4547,252.731,0.086956522
C9062,KGBXLFKZBHKPEV-UHFFFAOYSA-N,OB(O)O,-0.092236273,-2.0518,61.833,0.086956522
C9935,IHQKEDIOMGYHEB-UHFFFAOYSA-M,[O-][As](=O)(C)C.[Na+],1.096967018,0.5492,159.979,0.086956522
C392,WVFBDVFCOCLEFM-UHFFFAOYSA-N,ClC(=CC(=C(Cl)Cl)Cl)Cl,-4.23,4.1909,226.316,0.090909091
C4655,WAECBMNQMWVHQC-UHFFFAOYSA-N,FC1C(F)(F)C(C(C1(F)F)(F)F)F,-3.634175075,2.5821,214.057,0.090909091
C1019,CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CC=CC1,-2.1500001,2.0587,92.1384,0.090909091
C1155,BZHJMEDXRYGGRV-UHFFFAOYSA-N,ClC=C,-1.75,1.3687,62.4982,0.090909091
C1371,INQOMBQAUSQDDS-UHFFFAOYSA-N,CI,-1.0,1.0512,141.939,0.090909091
C1433,GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr,-0.79000002,1.0111,94.9385,0.090909091
C1462,YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,-0.63,1.4215,84.9326,0.090909091
C4902,IGUGQDSSBKNSBH-UHFFFAOYSA-N,FC(C(C(F)F)(Cl)Cl)F,-3.454793178,2.6905,184.948,0.092592593
C6494,TXTDSKOBDLHVMR-UHFFFAOYSA-N,ClC(C(F)F)C(F)F,-2.417116931,2.124,150.503,0.093023256
C930,WBEJYOJJBDISQU-VKHMYHEASA-N,ClC[C@H](CBr)Br,-2.3800001,2.3836,236.333,0.093023256
C710,AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(C(Cl)(F)F)(Cl)Cl,-3.04,2.9189,187.376,0.09375
C1121,KAKZBPTYRLMSJV-UHFFFAOYSA-N,C=CC=C,-1.87,1.3584,54.0904,0.09375
C8110,IMLSAISZLJGWPP-UHFFFAOYSA-N,C1SCCS1,-1.259344091,1.4239,106.21,0.09375
C1520,GNHMRTZZNHZDDM-UHFFFAOYSA-N,ClCCC#N,-0.28999999,1.13888,89.5236,0.095238095
C9530,HUOSDXNNLBQJLM-UHFFFAOYSA-M,ICC[N+](C)(C)C.[I-],0.467277449,-1.8684,340.972,0.095238095
C9366,XCWPBWWTGHQKDR-UHFFFAOYSA-N,S=C1SCCS1,0.314385747,1.7513,136.259,0.096153846
C4381,ZFFLXJVVPHACEG-UHFFFAOYSA-N,FC1=C(F)C(F)(F)C(C(C1(F)F)(F)F)(F)F,-3.818610208,3.6918,262.048,0.096774194
C686,DDMOUSALMHHKOS-UHFFFAOYSA-N,FC(C(Cl)(F)F)(Cl)F,-3.1199999,2.6496,170.921,0.096774194
C5548,YBMDPYAEZDJWNY-UHFFFAOYSA-N,FC1=C(F)C(C(C1(F)F)(F)F)(F)F,-3.014668051,3.0565,212.041,0.096774194
C1079,UVJHQYIOXKWHFD-UHFFFAOYSA-N,C1=CCC=CC1,-1.97,1.8926,80.1277,0.096774194
C1587,MLUCVPSAIODCQM-NSCUHMNNSA-N,C/C=C/C=O,0.31999999,0.7614,70.0898,0.096774194
C877,CYTYCFOTNPOANT-UHFFFAOYSA-N,ClC(=C(Cl)Cl)Cl,-2.54,3.0682,165.833,0.097560976
C9077,SQYNKIJPMDEDEG-UHFFFAOYSA-N,CC1OC(C)OC(O1)C,-0.071878721,1.0878,132.158,0.097560976
C5779,XCYTWVOCYSIWKS-UHFFFAOYSA-N,ClCC[NH+](CCCl)CC[NH+](CCCl)CCCl.[Cl-].[Cl-],-2.864697085,-6.2806,383.013,0.1
C848,BNIXVQGCZULYKV-UHFFFAOYSA-N,ClC(C(Cl)(Cl)Cl)Cl,-2.5999999,3.1603,202.294,0.1
C7090,WQADWIOXOXRPLN-UHFFFAOYSA-N,C1CCSCS1,-2.041782984,1.814,120.236,0.1
C1081,XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl,-1.96,2.5017,131.388,0.1
C1256,YTPLMLYBLZKORZ-UHFFFAOYSA-N,c1cccs1,-1.45,1.7481,84.1396,0.1
C1286,OTMSDBZUPAUEDD-UHFFFAOYSA-N,CC,-1.36,1.0262,30.069,0.1
