Compound ID,InChIKey,SMILES,logS,logP,MW,similarity_scores_with_oral_bioavail_test_dataset
C5454,HTXDULDRRFEGRQ-UHFFFAOYSA-M,CC(c1ccc(c(c1O)C(=O)[O-])C)C.[Na+],-3.06536687,1.1875,216.209,0.217391304
C5489,DXDRHHKMWQZJHT-FPYGCLRLSA-N,Oc1ccc(cc1)/C=C/C(=O)c1ccc(cc1O)O,-3.046947885,2.6995,256.253,0.217391304
C5645,HWQQCBDKNXSNIC-KHPPLWFESA-N,N#C/N=[N+](/c1ccc(cc1)Cl)\[O-],-2.947735644,2.93828,181.579,0.217391304
C5881,JDNAJAXZNLKSTI-UHFFFAOYSA-N,Fc1ccc(c(c1)Cl)C1(OC1Cl)C(=O)N,-2.791645494,2.4551,250.054,0.217391304
C6480,UXZXGJYVUINDEL-UHFFFAOYSA-M,CCCN1C(=O)[N-]C(=O)C(C1=O)(CC)CC.[Na+],-2.426887538,1.3337,248.254,0.217391304
C6599,WBUOVKBZJOIOAE-UHFFFAOYSA-N,N#Cc1cccc(c1)Cl,-2.345279631,2.21168,137.566,0.217391304
C6815,JBOPQACSHPPKEP-UHFFFAOYSA-N,CC(=O)Oc1c[nH]c2c1cccc2,-2.195837681,2.0932,175.184,0.217391304
C1011,WTYGAUXICFETTC-UHFFFAOYSA-N,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.1700001,1.9068,236.267,0.217391304
C7012,ZZHZBOWDNSQHCZ-UHFFFAOYSA-N,CC(C(COC(=O)NC(=O)C)(COC(=O)NC(=O)C)C)C,-2.082536926,1.9759,302.324,0.217391304
C7014,MRABZSNALSVEMX-UHFFFAOYSA-N,OCC(Nc1nc(nc(n1)N1CC1)N1CC1)CO,-2.081733093,-1.5203,252.273,0.217391304
C7063,SKGACPGKMWWAIG-RMKNXTFCSA-N,N#C/C(=C\c1ccccc1)/C(=O)N,-2.054728588,1.77918,172.183,0.217391304
C7178,KTNPVRSKFWZJEZ-UHFFFAOYSA-N,NN1C(C)(C)CCCC1(C)C,-1.973775834,2.5414,156.268,0.217391304
C7355,YYQRGCZGSFRBAM-UHFFFAOYSA-N,ClC(COP(=O)(O)O)(Cl)Cl,-1.841372705,1.4659,229.384,0.217391304
